filename,prompt,grade
990384.txt,,high
395987.txt,,high
1949465.txt,,high
38209.txt,,high
1834502.txt,,high
1079196.txt,,high
1985615.txt,,high
711394.txt,,high
1728162.txt,,high
186616.txt,,high
656695.txt,,high
1876159.txt,,high
1109085.txt,,high
913996.txt,,high
412197.txt,,high
1723586.txt,,high
373416.txt,,high
71654.txt,,high
162639.txt,,high
594970.txt,,high
755753.txt,,high
338351.txt,,high
1942513.txt,,high
1599482.txt,,high
599905.txt,,high
1164913.txt,,low
1691426.txt,,low
1004355.txt,,low
1813924.txt,,low
206667.txt,,low
1249928.txt,,low
339615.txt,,low
1971958.txt,,low
449267.txt,,low
1239289.txt,,low
1388870.txt,,low
1447041.txt,,low
643139.txt,,low
644250.txt,,low
1394540.txt,,low
1469088.txt,,low
1851482.txt,,low
1321982.txt,,low
404521.txt,,low
1007363.txt,,low
219983.txt,,low
871631.txt,,low
1181356.txt,,low
1790750.txt,,low
450359.txt,,low
