filename,grade,words,sentences,constituents,mispelling words,mispelling rate
1004355.txt,low,302,14,182,7,2.3178807947019866
1007363.txt,low,201,10,135,11,5.472636815920398
1079196.txt,high,423,17,251,6,1.4184397163120568
1086343.txt,low,121,10,97,19,15.702479338842975
1096747.txt,low,114,6,67,5,4.385964912280702
1109085.txt,high,381,16,235,3,0.7874015748031497
1164913.txt,low,307,14,208,13,4.234527687296417
1174920.txt,low,162,5,100,4,2.4691358024691357
1181356.txt,low,180,11,148,7,3.888888888888889
1223368.txt,high,253,17,196,5,1.976284584980237
1239289.txt,low,237,11,142,13,5.485232067510548
1249928.txt,low,294,15,204,20,6.802721088435374
1321982.txt,low,204,2,55,21,10.294117647058824
1346734.txt,low,108,7,92,9,8.333333333333334
1365003.txt,high,351,19,232,5,1.4245014245014245
1388870.txt,low,224,13,182,14,6.25
1392946.txt,high,326,20,230,8,2.4539877300613497
1394540.txt,low,215,8,108,11,5.116279069767442
1414676.txt,high,337,23,227,1,0.29673590504451036
1431839.txt,high,345,24,278,3,0.8695652173913043
1447041.txt,low,224,10,137,17,7.589285714285714
1449555.txt,high,343,25,280,2,0.5830903790087464
1453563.txt,high,313,16,194,4,1.2779552715654952
1469088.txt,low,210,7,135,19,9.047619047619047
1599482.txt,high,350,16,229,15,4.285714285714286
1604419.txt,low,80,3,47,25,31.25
162639.txt,high,376,20,298,10,2.6595744680851063
1648484.txt,low,108,5,66,4,3.7037037037037037
1691426.txt,low,293,16,214,31,10.580204778156997
1693042.txt,high,327,21,248,0,0.0
1703761.txt,low,134,13,126,3,2.2388059701492535
1723586.txt,high,379,17,218,5,1.3192612137203166
1728162.txt,high,407,18,225,13,3.194103194103194
1784031.txt,low,161,6,95,16,9.937888198757763
1790750.txt,low,180,8,124,8,4.444444444444445
1804641.txt,low,121,5,69,18,14.87603305785124
1812668.txt,low,138,6,89,10,7.246376811594203
1813924.txt,low,289,18,204,28,9.688581314878892
1827588.txt,high,316,19,238,1,0.31645569620253167
1834502.txt,high,449,23,278,3,0.6681514476614699
1851482.txt,low,206,11,136,8,3.883495145631068
186616.txt,high,399,19,246,2,0.5012531328320802
1876159.txt,high,376,16,220,10,2.6595744680851063
1897285.txt,low,74,4,62,13,17.56756756756757
1942513.txt,high,358,21,248,3,0.8379888268156425
1949465.txt,high,448,26,323,10,2.232142857142857
1971958.txt,low,259,15,180,11,4.2471042471042475
1974703.txt,low,95,5,63,1,1.0526315789473684
1985615.txt,high,420,20,255,4,0.9523809523809523
206667.txt,low,302,12,176,26,8.609271523178808
216672.txt,low,11,1,11,3,27.272727272727273
219983.txt,low,200,13,150,3,1.5
230893.txt,high,334,17,196,11,3.2934131736526946
232159.txt,high,328,17,242,8,2.4390243902439024
248917.txt,low,109,4,58,14,12.844036697247706
265349.txt,high,310,19,207,5,1.6129032258064515
279212.txt,high,306,22,233,8,2.6143790849673203
302140.txt,high,332,21,240,1,0.30120481927710846
338351.txt,high,364,18,231,10,2.7472527472527473
339615.txt,low,280,12,202,22,7.857142857142857
345396.txt,low,157,10,111,11,7.006369426751593
373416.txt,high,382,18,220,1,0.2617801047120419
38209.txt,high,450,24,328,4,0.8888888888888888
392518.txt,low,125,8,80,14,11.2
395987.txt,high,498,38,415,3,0.6024096385542169
404521.txt,low,199,7,103,7,3.5175879396984926
412197.txt,high,377,25,284,8,2.1220159151193636
425198.txt,low,128,9,104,12,9.375
449267.txt,low,238,12,165,15,6.302521008403361
450359.txt,low,175,8,116,4,2.2857142857142856
496928.txt,low,131,12,118,10,7.633587786259542
526827.txt,low,91,6,66,8,8.791208791208792
52951.txt,high,325,18,209,14,4.3076923076923075
535573.txt,high,301,20,226,1,0.33222591362126247
562823.txt,low,131,8,81,8,6.106870229007634
586583.txt,low,170,7,113,5,2.9411764705882355
589458.txt,low,155,6,86,12,7.741935483870968
594970.txt,high,374,19,218,3,0.8021390374331551
599905.txt,high,351,21,248,11,3.133903133903134
609558.txt,high,340,22,242,9,2.6470588235294117
618384.txt,high,302,16,205,16,5.298013245033113
643139.txt,low,228,14,181,19,8.333333333333334
644250.txt,low,213,7,137,36,16.901408450704224
656695.txt,high,383,16,242,8,2.088772845953003
661830.txt,low,145,12,111,11,7.586206896551724
67346.txt,high,347,23,265,8,2.3054755043227666
711394.txt,high,415,20,269,4,0.963855421686747
71654.txt,high,374,25,263,5,1.3368983957219251
716766.txt,high,312,17,203,4,1.2820512820512822
746257.txt,low,137,9,99,13,9.489051094890511
749940.txt,low,135,5,72,1,0.7407407407407407
755753.txt,high,364,21,279,6,1.6483516483516483
757891.txt,high,330,23,241,7,2.121212121212121
806909.txt,high,348,22,241,7,2.0114942528735633
832751.txt,high,289,16,198,5,1.7301038062283738
844996.txt,high,307,18,235,3,0.9771986970684039
871631.txt,low,177,9,110,11,6.214689265536723
913996.txt,high,379,17,220,4,1.0554089709762533
937403.txt,high,307,19,237,8,2.6058631921824102
990384.txt,high,552,25,345,11,1.9927536231884058
